Year, GDP_Real_millionUSD_2012,GDP_Nominal_millionUSD,GDP Deflator (index 2012=100),Population (in thousands),Nominal GDP per capita (current dollars),Real GDP per capita (year 2012 dollars),U.S. Consumer Price Index *,Costs of Unskilled Labor (index 1860 = 100),Production Workers Hourly Compensation (nominal dollars),Value of Consumer Bundle (dollars),Number of Consumer Units (thousands),Average Size of the Consumer Unit (number of persons),S&P_JanAvg,Annual Yield,PCE,IPP,Inflation_Avg,CAR_ownership,Cinema_AttendancePCT,RADIO_AMstations,TV_stations,Newspaper_Weekly,Newspaper_Sunday,Cstrip_Started,Cstrip_Active,Cstrip_Ended,MZ_Pub,MZ_Issues,CB_total,CB_Publishers,HHI,Price_Avg,adventure,animal,anthropomorphicanimal,aviation,car,children,crime,detective_mystery,domestic,drama,erotica,fantasy,fashion,history,horror_suspense,humor_all,jungle,martial_arts,math_science,medical,military,nature,nonfiction,religious,romance,satire_parody,science_fiction,sports,spy,superhero_all,all_but_superhero,sword_sorcery,teen,war,western_frontier,Genre_Gini,juv_delin,teenage,cinema,graphic nov,comics,Censor47,Censor54,female_lfp_pct,urban_pct,suburban_pct,central_city_pct,tv_penetration_pct,youth_5_19_pct,cars_per1000pop,comic_price_real,comics_per1000pop,suburban_urban_ratio
1938,1132300,87400,7.71,129969,672.0,8712.0,14.09,520.0,0.64,1452.0,39256.0,3.2,11.31,4.51,64300000000.0,800000000.0,-0.02,25167030.0,46.22,689.0,0.0,,,6,105,6,13.0,160.0,260,37,770.1183432,0.104048583,186,67,63,65,0,84,55,96,36,72,0,57,0,16,0,186,63,0,2,2,10,1,108,0,3,6,66,63,28,46,214,0,0,0,0,0.611683776,1.05e-06,9.8e-09,2.92e-06,0.0,4.34e-07,0,0,27.0,54.8,13.0,41.8,0.0,26.5,193.63871384714813,0.177820431415188,0.0020004770368318,23.72262773722628
1939,1223200,93400,7.64,131028,713.0,9335.0,13.89,527.0,0.64,1526.0,39235.0,3.3,12.5,4.96,67200000000.0,800000000.0,-0.01,26139526.0,46.39,722.0,0.0,,,8,107,4,17.0,241.0,351,50,797.8019659,0.098847262,252,91,82,91,0,88,73,128,45,91,0,49,0,9,3,234,63,0,0,10,12,5,141,0,0,9,83,93,45,119,232,0,0,0,0,0.615638767,1.09e-06,1.41e-08,2.51e-06,0.0,9.15e-07,0,0,27.5,55.65,13.85,41.8,0.0025,26.65,199.4957261043441,0.1713637198675305,0.0026788167414598,24.88769092542677
1940,1331100,102900,7.73,132122,779.0,10074.0,14.03,542.0,0.67,1626.0,39203.0,3.3,12.3,5.45,71300000000.0,800000000.0,0.01,27372397.0,49.72,765.0,0.0,41132000.0,32371000.0,14,116,5,29.0,550.0,767,117,350.9329598,0.09494008,512,76,63,180,1,129,71,286,41,80,0,72,0,16,12,327,165,0,4,0,17,9,169,0,1,5,276,140,109,517,250,0,0,0,0,0.681387503,1.02e-06,2.23e-08,1.96e-06,4.48e-10,9.95e-07,0,0,28.0,56.5,14.7,41.8,0.005,26.8,207.17516386370173,0.1629477638203848,0.0058052406109504,26.017699115044245
1941,1566800,129300,8.25,133402,969.0,11745.0,14.73,604.0,0.74,1834.0,39287.0,3.3,10.55,6.73,81100000000.0,1100000000.0,0.05,29524101.0,51.55,897.0,0.0,,,4,115,2,26.0,673.0,920,148,297.9206049,0.094547437,540,79,52,212,0,135,72,343,45,64,0,72,0,7,20,379,146,0,0,0,37,8,146,0,2,0,164,150,125,699,221,0,0,0,0,0.702492893,1.06e-06,4.04e-08,2.13e-06,7.23e-10,6.61e-07,0,0,30.5,56.46,15.56,40.900000000000006,0.0075,26.68,221.3167793586303,0.154562273113374,0.0068964483291105,27.5593340417995
1942,1862800,166000,8.91,134860,1231.0,13813.0,16.3,686.0,0.86,1950.0,39853.0,3.2,8.93,6.61,89000000000.0,1200000000.0,0.11,27868746.0,57.53,925.0,0.0,,,4,117,5,27.0,731.0,1064,181,272.8037198,0.096176471,500,124,93,194,0,170,64,252,45,75,1,93,1,26,16,576,112,0,3,5,84,9,191,10,1,7,81,106,112,698,366,0,0,0,0,0.684063321,1.51e-06,4.13e-08,1.73e-06,9.94e-10,6.47e-07,0,0,33.0,56.42,16.419999999999998,40.0,0.01,26.56,206.64945869790893,0.1420815596122699,0.0078896633545899,29.10315490960652
1943,2179900,203100,9.32,136739,1485.0,15942.0,17.3,757.0,0.98,2074.0,40289.0,3.2,10.09,6.05,99900000000.0,1100000000.0,0.06,25912730.0,61.69,912.0,0.0,,,11,123,8,29.0,872.0,1171,203,274.8823876,0.110828025,437,240,197,191,0,200,52,223,53,58,0,89,0,25,6,663,96,0,4,18,117,5,155,12,4,5,57,86,103,632,539,0,0,0,0,0.683728856,2.41e-06,6.1e-08,1.87e-06,1.72e-10,1.02e-06,0,0,34.5,56.38,17.28,39.1,0.0125,26.44,189.50504245314065,0.1542623608092485,0.00856376015621,30.649166371053564
1944,2353200,224400,9.54,138397,1622.0,17004.0,17.6,791.0,1.05,2193.0,40615.0,3.2,11.85,5.4,109000000000.0,1200000000.0,0.02,25466331.0,60.52,924.0,0.0,,,7,121,2,39.0,845.0,1240,250,212.3959417,0.112087912,459,273,231,156,0,179,69,229,64,69,0,92,0,26,21,688,92,0,6,17,114,9,151,1,5,4,82,74,93,605,635,0,0,0,0,0.677937702,3.43e-06,8.76e-08,2.16e-06,0.0,6.96e-07,0,0,36.0,56.34,18.14,38.2,0.015,26.32,184.0092704321625,0.1533566432363636,0.0089597317860936,32.197373091941785
1945,2330200,228000,9.79,139928,1629.0,16653.0,18.0,813.0,1.06,2401.0,41047.0,3.2,13.49,4.89,120000000000.0,1400000000.0,0.02,25694926.0,58.7,933.0,0.0,48384000.0,39860000.0,8,126,6,50.0,842.0,1213,278,190.0610928,0.101471861,437,310,275,134,0,170,66,201,67,73,0,89,3,34,17,716,88,0,9,11,91,12,150,4,10,5,72,75,73,533,680,0,0,0,0,0.677860245,1.94e-06,7.67e-08,2.23e-06,1.66e-10,7.61e-07,0,0,37.0,56.3,19.0,37.3,0.0175,26.2,183.62962380652908,0.1357468007155555,0.0086687439254473,33.74777975133215
1946,2059800,227500,11.05,141389,1609.0,14568.0,19.54,900.0,1.13,3051.0,41955.0,3.2,18.02,3.94,144000000000.0,1800000000.0,0.09,28103880.0,58.7,1004.0,0.0,50928000.0,43665000.0,6,123,7,55.0,1190.0,1662,290,183.7491547,0.098802773,555,478,431,156,2,286,89,253,62,92,0,144,12,25,23,1036,99,0,31,11,60,29,221,25,10,6,75,157,80,633,1029,0,0,0,0,0.684134665,1.94e-06,1.14e-07,2.99e-06,0.0,8.74e-07,0,0,34.25,56.26,19.86,36.4,0.02,26.36,198.7699184519305,0.1217589955905834,0.0117548041219613,35.300391041592604
1947,2036200,249600,12.26,144126,1732.0,14128.0,22.34,1017.0,1.3,3419.0,42729.0,3.2,15.21,5.52,162000000000.0,2000000000.0,0.14,30722855.0,50.55,1517.0,0.0,51673000.0,45151000.0,8,123,2,41.0,1316.0,1797,274,315.0585794,0.096670561,516,497,457,126,1,311,129,245,63,88,0,147,12,42,20,1122,130,0,11,5,15,20,223,46,33,4,76,151,60,553,1244,0,0,0,0,0.688447395,2.17e-06,1.33e-07,3.09e-06,7.58e-10,8.35e-07,0,0,31.5,56.22,20.72,35.5,0.21,26.52,213.1666389131732,0.1041999601110116,0.0124682569418425,36.85521166844539
