date,total_issues,adventure,advocacy,animal,anthropomorphic,aviation,biography,car,children,crime,detective,domestic,drama,erotica,fantasy,fashion,fiction,frontier,funny animals,historical,history,horror,humor,jungle,martial arts,math & science,medical,military,mystery,nature,non,parody,religious,romance,satire,science fiction,sports,spy,superhero,suspense,sword and sorcery,teen,war,western,genre_entropy,genre_gini,genre_active_count,genre_entropy_norm,issues_monthly_flag,cpi,rate_10yr,fed_funds_rate,m2,housing_starts,consumer_sentiment,indpro,ip_manufacturing,capacity_util,nonfarm_payrolls,mfg_employment,unemployment_rate,labor_force_part,women_lfp,population,event_wwii_rationing,event_cca_enforcement,event_direct_market,event_dark_knight,event_speculator_bubble,event_speculator_crash,era,log_total_issues,log_indpro,log_ip_manufacturing,log_nonfarm_payrolls,log_mfg_employment,log_m2,log_population,log_cpi,log_housing_starts
1900-01-31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,pre_golden,0.0,,,,,,,,
1900-02-28,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,pre_golden,0.6931471805599453,,,,,,,,
1900-03-31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,pre_golden,0.0,,,,,,,,
1900-05-31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,pre_golden,0.0,,,,,,,,
1900-06-30,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,pre_golden,0.6931471805599453,,,,,,,,
1900-08-31,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,pre_golden,1.0986122886681098,,,,,,,,
1900-09-30,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,pre_golden,1.0986122886681098,,,,,,,,
1900-10-31,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,pre_golden,0.6931471805599453,,,,,,,,
1900-11-30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,pre_golden,0.0,,,,,,,,
1900-12-31,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,pre_golden,1.0986122886681098,,,,,,,,
1901-01-31,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,pre_golden,0.0,,,,,,,,
1901-02-28,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,pre_golden,1.3862943611198906,,,,,,,,
1901-03-31,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,pre_golden,1.6094379124341003,,,,,,,,
1901-04-30,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,1,,,,,,,,,,,,,,,,0,0,0,0,0,0,pre_golden,1.3862943611198906,,,,,,,,
