Source,Target,Type
0,1619,familiar
0,1265,friend
0,1561,friend
0,456,friend
0,1103,friend
0,607,friend
0,1476,friend
0,543,friend
0,207,friend
0,739,friend
0,79,friend
0,998,friend
0,1525,friend
0,1976,friend
0,167,friend
0,308,friend
0,1424,acquaintance
0,1338,acquaintance
0,436,acquaintance
0,1602,acquaintance
0,1431,acquaintance
0,84,acquaintance
0,523,acquaintance
0,368,acquaintance
0,930,acquaintance
0,971,acquaintance
0,1334,acquaintance
0,621,acquaintance
0,1943,acquaintance
0,446,acquaintance
0,485,acquaintance
0,1121,acquaintance
0,22,acquaintance
0,1310,acquaintance
0,201,acquaintance
0,1461,acquaintance
0,1185,acquaintance
0,1846,acquaintance
0,242,acquaintance
0,1938,acquaintance
0,89,acquaintance
0,188,acquaintance
0,734,acquaintance
0,10,acquaintance
0,1729,acquaintance
0,1139,acquaintance
0,223,acquaintance
0,222,acquaintance
0,1989,acquaintance
0,636,acquaintance
0,586,acquaintance
0,840,acquaintance
0,1879,acquaintance
0,877,acquaintance
0,1690,acquaintance
0,1138,acquaintance
0,1557,acquaintance
0,1860,acquaintance
0,888,acquaintance
0,257,acquaintance
0,1892,acquaintance
0,1202,acquaintance
0,582,acquaintance
0,1814,acquaintance
0,1519,acquaintance
0,1154,acquaintance
0,282,acquaintance
0,1128,acquaintance
0,77,acquaintance
0,535,acquaintance
0,1579,acquaintance
0,823,acquaintance
0,778,acquaintance
0,1473,acquaintance
0,776,acquaintance
0,761,acquaintance
0,443,acquaintance
0,1737,acquaintance
0,1659,acquaintance
0,896,acquaintance
0,1285,acquaintance
0,1312,acquaintance
0,1168,acquaintance
0,1033,acquaintance
0,882,acquaintance
0,489,acquaintance
0,234,acquaintance
0,1598,acquaintance
0,685,acquaintance
0,1797,acquaintance
0,1370,acquaintance
0,1665,acquaintance
0,1907,acquaintance
0,290,acquaintance
0,1467,acquaintance
0,1840,acquaintance
0,1354,acquaintance
0,219,acquaintance
0,601,acquaintance
0,134,acquaintance
0,1425,acquaintance
0,1469,acquaintance
0,1877,acquaintance
0,1297,acquaintance
0,1545,acquaintance
0,763,acquaintance
0,533,acquaintance
0,1637,acquaintance
0,1328,acquaintance
0,853,acquaintance
0,760,acquaintance
0,756,acquaintance
0,815,acquaintance
0,1653,acquaintance
0,1453,acquaintance
0,598,acquaintance
0,1248,acquaintance
1,401,familiar
1,102,familiar
1,1452,familiar
1,356,friend
1,170,friend
1,1702,friend
1,515,friend
1,936,friend
1,1965,friend
1,206,friend
1,520,friend
2,807,familiar
2,1818,familiar
2,1785,familiar
2,436,friend
2,1989,friend
2,1657,friend
2,1222,friend
2,729,friend
2,800,friend
2,1214,friend
2,284,friend
2,518,friend
2,454,friend
3,1722,friend
3,1106,friend
3,442,friend
3,883,friend
3,1253,friend
3,832,friend
3,282,friend
3,1424,acquaintance
3,1338,acquaintance
3,436,acquaintance
3,1602,acquaintance
3,1431,acquaintance
3,84,acquaintance
3,523,acquaintance
3,368,acquaintance
3,930,acquaintance
3,971,acquaintance
3,1334,acquaintance
3,621,acquaintance
3,1943,acquaintance
3,446,acquaintance
3,485,acquaintance
3,1121,acquaintance
3,22,acquaintance
3,1310,acquaintance
3,201,acquaintance
3,1461,acquaintance
3,1185,acquaintance
3,1846,acquaintance
3,242,acquaintance
3,1938,acquaintance
3,89,acquaintance
3,188,acquaintance
3,734,acquaintance
3,10,acquaintance
3,1729,acquaintance
3,1139,acquaintance
3,223,acquaintance
3,222,acquaintance
3,1989,acquaintance
3,636,acquaintance
3,586,acquaintance
3,840,acquaintance
3,1879,acquaintance
3,877,acquaintance
3,1690,acquaintance
3,1138,acquaintance
3,1557,acquaintance
3,1860,acquaintance
3,888,acquaintance
3,257,acquaintance
3,1892,acquaintance
3,1202,acquaintance
3,582,acquaintance
3,1814,acquaintance
3,1519,acquaintance
3,1154,acquaintance
3,1128,acquaintance
3,77,acquaintance
3,535,acquaintance
3,1579,acquaintance
3,823,acquaintance
3,778,acquaintance
3,1473,acquaintance
3,776,acquaintance
3,761,acquaintance
3,443,acquaintance
3,1737,acquaintance
3,1659,acquaintance
3,896,acquaintance
3,1285,acquaintance
3,1312,acquaintance
3,1168,acquaintance
3,1033,acquaintance
3,882,acquaintance
3,489,acquaintance
3,234,acquaintance
3,1598,acquaintance
3,685,acquaintance
3,1797,acquaintance
3,1370,acquaintance
3,1665,acquaintance
3,1907,acquaintance
3,290,acquaintance
3,1467,acquaintance
3,1840,acquaintance
3,1354,acquaintance
3,219,acquaintance
3,601,acquaintance
3,134,acquaintance
3,1425,acquaintance
3,1469,acquaintance
3,1877,acquaintance
3,1297,acquaintance
3,1545,acquaintance
3,763,acquaintance
3,533,acquaintance
3,1637,acquaintance
3,1328,acquaintance
3,853,acquaintance
3,760,acquaintance
3,756,acquaintance
3,815,acquaintance
3,1653,acquaintance
3,1453,acquaintance
3,598,acquaintance
3,1248,acquaintance
